Partido;Local;Equipo;Conferencia;Nivel;ConfRival;NivelRival;Puntos;Ptsencontra;Ganador;T2A;T2I;T3A;T3I;TLA;TLI;Reb;RebO;RebD;Asist;Robos;Tapones;Perdidas;Ptsperdida;Ptscontrataque;Ptszona;Faltas;Tecnicas;Intecionales;T2AR;T2IR;T3AR;T3IR;TLAR;TLIR;RebR;RebOR;RebDR;AsistR;RobosR;TaponesR;PerdidasR;PtsperdidaR;PtscontrataqueR;PtszonaR;FaltasR;TecnicasR;IntencionalesR
400974770;Vis;Hawks;0;0;0;1;91;109;D;36;95;7;30;12;14;49;6;32;19;11;4;13;15;2;40;29;3;0;37;86;11;36;24;30;67;12;45;17;5;4;21;19;4;48;18;1;0
400974770;L;Hornets;0;1;0;0;109;91;V;37;86;11;36;24;30;67;12;45;17;5;4;21;19;4;48;18;1;0;36;95;7;30;12;14;49;6;32;19;11;4;13;15;2;40;29;3;0
400974771;Vis;Trail Blazers;1;1;0;2;114;96;V;46;95;9;19;13;17;58;11;40;19;5;6;9;10;9;48;26;1;0;35;78;4;18;22;33;49;6;33;15;1;4;12;23;18;40;17;0;0
400974771;L;Pacers;0;2;1;1;96;114;D;35;78;4;18;22;33;49;6;33;15;1;4;12;23;18;40;17;0;0;46;95;9;19;13;17;58;11;40;19;5;6;9;10;9;48;26;1;0
400974772;Vis;Celtics;0;2;0;1;102;92;V;35;84;10;29;22;32;64;14;41;16;4;5;19;16;0;28;24;0;0;35;92;10;32;12;16;56;14;33;20;7;4;17;12;4;40;30;1;0
400974772;L;76ers;0;1;0;2;92;102;D;35;92;10;32;12;16;56;14;33;20;7;4;17;12;4;40;30;1;0;35;84;10;29;22;32;64;14;41;16;4;5;19;16;0;28;24;0;0
400974773;Vis;Pistons;0;1;0;2;111;115;D;43;87;10;23;15;20;43;10;23;19;12;1;19;25;12;46;32;0;0;40;75;6;17;29;35;47;7;30;25;12;7;17;22;14;50;18;0;0
400974773;L;Wizards;0;2;0;1;115;111;V;40;75;6;17;29;35;47;7;30;25;12;7;17;22;14;50;18;0;0;43;87;10;23;15;20;43;10;23;19;12;1;19;25;12;46;32;0;0
400974774;Vis;Magic;0;0;0;0;121;126;D;45;89;18;33;13;15;45;9;31;30;9;3;22;18;6;38;27;0;0;46;92;9;27;25;35;57;15;33;22;13;6;18;17;5;60;17;0;0
400974774;L;Nets;0;0;0;0;126;121;V;46;92;9;27;25;35;57;15;33;22;13;6;18;17;5;60;17;0;0;45;89;18;33;13;15;45;9;31;30;9;3;22;18;6;38;27;0;0
