Partido;Local;Equipo;Conferencia;Nivel;ConfRival;NivelRival;Puntos;Ptsencontra;Ganador;T2A;T2I;T3A;T3I;TLA;TLI;Reb;RebO;RebD;Asist;Robos;Tapones;Perdidas;Ptsperdida;Ptscontrataque;Ptszona;Faltas;Tecnicas;Intecionales;T2AR;T2IR;T3AR;T3IR;TLAR;TLIR;RebR;RebOR;RebDR;AsistR;RobosR;TaponesR;PerdidasR;PtsperdidaR;PtscontrataqueR;PtszonaR;FaltasR;TecnicasR;IntencionalesR
400974770;0;Hawks;0;0;0;1;91;109;0;36;95;7;30;12;14;49;6;32;19;11;4;13;15;2;40;29;3;0;37;86;11;36;24;30;67;12;45;17;5;4;21;19;4;48;18;1;0
400974770;1;Hornets;0;1;0;0;109;91;1;37;86;11;36;24;30;67;12;45;17;5;4;21;19;4;48;18;1;0;36;95;7;30;12;14;49;6;32;19;11;4;13;15;2;40;29;3;0
400974771;0;Trail Blazers;1;1;0;2;114;96;1;46;95;9;19;13;17;58;11;40;19;5;6;9;10;9;48;26;1;0;35;78;4;18;22;33;49;6;33;15;1;4;12;23;18;40;17;0;0
400974771;1;Pacers;0;2;1;1;96;114;0;35;78;4;18;22;33;49;6;33;15;1;4;12;23;18;40;17;0;0;46;95;9;19;13;17;58;11;40;19;5;6;9;10;9;48;26;1;0
400974772;0;Celtics;0;2;0;1;102;92;1;35;84;10;29;22;32;64;14;41;16;4;5;19;16;0;28;24;0;0;35;92;10;32;12;16;56;14;33;20;7;4;17;12;4;40;30;1;0
400974772;1;76ers;0;1;0;2;92;102;0;35;92;10;32;12;16;56;14;33;20;7;4;17;12;4;40;30;1;0;35;84;10;29;22;32;64;14;41;16;4;5;19;16;0;28;24;0;0
400974773;0;Pistons;0;1;0;2;111;115;0;43;87;10;23;15;20;43;10;23;19;12;1;19;25;12;46;32;0;0;40;75;6;17;29;35;47;7;30;25;12;7;17;22;14;50;18;0;0
400974773;1;Wizards;0;2;0;1;115;111;1;40;75;6;17;29;35;47;7;30;25;12;7;17;22;14;50;18;0;0;43;87;10;23;15;20;43;10;23;19;12;1;19;25;12;46;32;0;0
400974774;0;Magic;0;0;0;0;121;126;0;45;89;18;33;13;15;45;9;31;30;9;3;22;18;6;38;27;0;0;46;92;9;27;25;35;57;15;33;22;13;6;18;17;5;60;17;0;0
400974774;1;Nets;0;0;0;0;126;121;1;46;92;9;27;25;35;57;15;33;22;13;6;18;17;5;60;17;0;0;45;89;18;33;13;15;45;9;31;30;9;3;22;18;6;38;27;0;0
400974775;0;Jazz;1;1;1;2;97;100;0;37;77;9;22;14;17;42;7;31;23;10;8;19;26;12;38;21;0;0;36;81;7;22;21;26;51;10;34;17;11;2;16;26;4;44;17;2;0
400974775;1;Timberwolves;1;2;1;1;100;97;1;36;81;7;22;21;26;51;10;34;17;11;2;16;26;4;44;17;2;0;37;77;9;22;14;17;42;7;31;23;10;8;19;26;12;38;21;0;0
400974776;0;Kings;1;0;1;0;93;88;0;37;87;10;23;9;13;63;16;41;20;8;3;15;14;6;26;18;0;0;31;75;11;33;15;21;41;7;29;19;8;7;12;6;9;30;13;2;0
400974776;1;Mavericks;1;0;1;0;88;93;1;31;75;11;33;15;21;41;7;29;19;8;7;12;6;9;30;13;2;0;37;87;10;23;9;13;63;16;41;20;8;3;15;14;6;26;18;0;0
400974777;0;Lakers;1;0;1;0;132;130;0;48;94;12;26;24;33;52;5;37;22;8;3;19;21;24;62;31;1;0;45;92;14;29;26;38;62;10;40;17;8;9;20;17;15;46;25;4;1
400974777;1;Suns;1;0;1;0;130;132;1;45;92;14;29;26;38;62;10;40;17;8;9;20;17;15;46;25;4;1;48;94;12;26;24;33;52;5;37;22;8;3;19;21;24;62;31;1;0
400974778;0;76ers;0;1;0;2;94;128;0;32;82;8;24;22;36;58;8;33;18;5;4;20;23;5;32;26;0;0;42;89;13;44;31;37;59;8;43;23;5;10;13;12;12;42;29;0;0
400974778;1;Raptors;0;2;0;1;128;94;1;42;89;13;44;31;37;59;8;43;23;5;10;13;12;12;42;29;0;0;32;82;8;24;22;36;58;8;33;18;5;4;20;23;5;32;26;0;0
400974779;0;Magic;0;0;0;2;114;93;1;40;90;17;35;17;20;58;12;38;28;7;6;12;13;4;34;28;0;0;33;86;7;25;20;27;55;11;33;15;4;7;16;12;2;38;14;0;0
400974779;1;Cavaliers;0;2;0;0;93;114;0;33;86;7;25;20;27;55;11;33;15;4;7;16;12;2;38;14;0;0;40;90;17;35;17;20;58;12;38;28;7;6;12;13;4;34;28;0;0
400974780;0;Pacers;0;2;0;1;108;112;1;43;96;7;19;15;21;54;13;32;18;9;4;11;16;5;56;18;1;0;45;87;14;34;8;14;53;6;39;24;6;11;14;11;15;56;19;1;0
400974780;1;Heat;0;1;0;2;112;108;0;45;87;14;34;8;14;53;6;39;24;6;11;14;11;15;56;19;1;0;43;96;7;19;15;21;54;13;32;18;9;4;11;16;5;56;18;1;0
400974781;0;Pistons;0;1;0;0;111;107;1;44;91;9;30;14;15;47;15;28;21;5;2;13;18;4;54;25;0;0;37;81;8;30;25;31;51;12;27;20;6;2;14;17;3;46;21;1;0
400974781;1;Knicks;0;0;0;1;107;111;0;37;81;8;30;25;31;51;12;27;20;6;2;14;17;3;46;21;1;0;44;91;9;30;14;15;47;15;28;21;5;2;13;18;4;54;25;0;0
400974782;0;Spurs;1;2;0;0;87;77;1;38;93;1;12;10;16;63;14;38;25;8;3;11;4;6;52;14;0;0;31;82;8;28;7;9;51;8;40;18;3;5;20;23;5;32;15;0;0
400974782;1;Bulls;0;0;1;2;77;87;0;31;82;8;28;7;9;51;8;40;18;3;5;20;23;5;32;15;0;0;38;93;1;12;10;16;63;14;38;25;8;3;11;4;6;52;14;0;0
400974783;0;Mavericks;1;0;1;2;91;107;0;31;84;13;31;16;21;47;8;33;19;6;0;14;19;0;30;19;1;0;39;82;11;47;18;22;58;8;46;17;12;4;15;13;4;50;24;2;0
400974783;1;Rockets;1;2;1;0;107;91;1;39;82;11;47;18;22;58;8;46;17;12;4;15;13;4;50;24;2;0;31;84;13;31;16;21;47;8;33;19;6;0;14;19;0;30;19;1;0
400974784;0;Warriors;1;2;1;0;101;111;1;33;84;12;38;23;27;55;12;34;20;10;7;17;24;32;36;28;3;0;36;77;10;27;29;37;49;6;34;20;8;4;14;16;21;48;25;0;0
400974784;1;Grizzlies;1;0;1;2;111;101;0;36;77;10;27;29;37;49;6;34;20;8;4;14;16;21;48;25;0;0;33;84;12;38;23;27;55;12;34;20;10;7;17;24;32;36;28;3;0
400974785;0;Trail Blazers;1;1;0;2;110;113;1;34;81;11;28;31;35;55;13;29;18;10;6;16;22;2;26;22;1;0;42;80;7;18;22;30;42;7;28;22;9;8;14;12;8;54;23;1;0
400974785;1;Bucks;0;2;1;1;113;110;0;42;80;7;18;22;30;42;7;28;22;9;8;14;12;8;54;23;1;0;34;81;11;28;31;35;55;13;29;18;10;6;16;22;2;26;22;1;0
400974786;0;Kings;1;0;1;1;79;96;0;31;85;8;22;9;13;47;12;27;15;6;3;14;19;12;34;21;1;0;37;85;10;30;12;20;67;18;40;25;7;2;16;15;16;52;19;1;0
400974786;1;Nuggets;1;1;1;0;96;79;1;37;85;10;30;12;20;67;18;40;25;7;2;16;15;16;52;19;1;0;31;85;8;22;9;13;47;12;27;15;6;3;14;19;12;34;21;1;0
400974787;0;Thunder;1;1;1;1;87;96;1;32;78;11;33;12;19;50;8;30;15;14;4;17;16;8;20;16;5;0;38;77;9;29;11;14;45;7;34;22;11;4;19;24;7;40;21;0;0
400974787;1;Jazz;1;1;1;1;96;87;0;38;77;9;29;11;14;45;7;34;22;11;4;19;24;7;40;21;0;0;32;78;11;33;12;19;50;8;30;15;14;4;17;16;8;20;16;5;0
400974788;0;Suns;1;0;1;1;88;130;1;27;71;6;24;28;38;45;4;32;19;8;3;20;32;5;36;27;1;0;48;88;12;26;22;30;57;10;42;26;12;2;12;9;19;66;32;0;0
400974788;1;Clippers;1;1;1;0;130;88;0;48;88;12;26;22;30;57;10;42;26;12;2;12;9;19;66;32;0;0;27;71;6;24;28;38;45;4;32;19;8;3;20;32;5;36;27;1;0
400974789;0;Hawks;0;0;0;0;104;116;0;32;94;7;27;33;36;58;16;32;21;6;2;16;25;7;36;25;0;0;41;87;11;27;23;34;64;13;38;27;12;8;18;17;22;46;27;1;0
400974789;1;Nets;0;0;0;0;116;104;1;41;87;11;27;23;34;64;13;38;27;12;8;18;17;22;46;27;1;0;32;94;7;27;33;36;58;16;32;21;6;2;16;25;7;36;25;0;0
400974790;0;Timberwolves;1;2;1;1;115;113;1;43;86;10;25;19;23;58;10;35;25;5;1;18;23;6;52;17;0;0;46;96;11;31;10;16;45;9;27;26;9;6;11;13;20;60;22;0;0
400974790;1;Thunder;1;1;1;2;113;115;0;46;96;11;31;10;16;45;9;27;26;9;6;11;13;20;60;22;0;0;43;86;10;25;19;23;58;10;35;25;5;1;18;23;6;52;17;0;0
400974791;0;Pelicans;1;1;1;0;119;112;1;47;83;10;32;15;21;50;6;36;26;14;5;18;20;18;68;20;0;0;44;90;9;27;15;20;43;9;29;27;7;6;17;24;20;60;24;0;0
400974791;1;Lakers;1;0;1;1;112;119;0;44;90;9;27;15;20;43;9;29;27;7;6;17;24;20;60;24;0;0;47;83;10;32;15;21;50;6;36;26;14;5;18;20;18;68;20;0;0
400974792;0;76ers;0;1;0;1;97;86;0;35;75;9;24;18;24;57;8;41;25;11;0;21;20;0;42;24;0;0;33;85;6;30;14;19;46;9;30;14;5;2;14;8;2;46;21;1;0
400974792;1;Pistons;0;1;0;1;86;97;1;33;85;6;30;14;19;46;9;30;14;5;2;14;8;2;46;21;1;0;35;75;9;24;18;24;57;8;41;25;11;0;21;20;0;42;24;0;0
400974793;0;Hawks;0;0;0;1;93;104;0;36;76;7;17;14;18;47;6;35;14;9;1;21;17;7;44;17;3;1;39;85;14;37;12;18;49;10;31;21;12;6;19;21;14;40;19;2;0
400974793;1;Heat;0;1;0;0;104;93;1;39;85;14;37;12;18;49;10;31;21;12;6;19;21;14;40;19;2;0;36;76;7;17;14;18;47;6;35;14;9;1;21;17;7;44;17;3;1
400974794;0;Grizzlies;1;0;1;2;98;90;0;29;68;6;19;34;37;47;3;35;16;5;2;12;6;0;40;21;1;0;32;77;9;38;17;23;46;9;30;25;5;2;18;22;4;44;31;3;0
400974794;1;Rockets;1;2;1;0;90;98;1;32;77;9;38;17;23;46;9;30;25;5;2;18;22;4;44;31;3;0;29;68;6;19;34;37;47;3;35;16;5;2;12;6;0;40;21;1;0
